Entry	Gene Names (primary)	Gene Names (ordered locus)	Pathway	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	STRING	eggNOG	OrthoDB	UniPathway	CDD	PROSITE	SMART	Pfam	InterPro	Gene Names
A0A510N6S7	nnrDE			nicotinamide nucleotide metabolic process [GO:0046496]		ADP-dependent NAD(P)H-hydrate dehydratase activity [GO:0052855]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NADHX epimerase activity [GO:0052856]; NADPHX epimerase activity [GO:0052857]					cd01171;	PS51383;PS51385;		PF01256;PF03853;	IPR000631;IPR030677;IPR029056;IPR004443;IPR036652;	nnrDE nnrD nnrE VNG_1272C
O07683	aspS	VNG_0461G		aspartyl-tRNA aminoacylation [GO:0006422]	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytosol [GO:0005829]	aspartate-tRNA ligase activity [GO:0004815]; aspartate-tRNA(Asn) ligase activity [GO:0050560]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; RNA binding [GO:0003723]	64091.VNG_0461G;		24288at2157;			PS50862;		PF00152;PF01336;	IPR004364;IPR006195;IPR045864;IPR004523;IPR002312;IPR012340;IPR004365;	aspS VNG_0461G
P02945	bop	VNG_1467G		phototransduction [GO:0007602]; protein-chromophore linkage [GO:0018298]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ion channel activity [GO:0005216]; photoreceptor activity [GO:0009881]	64091.VNG_1467G;					PS00950;PS00327;	SM01021;	PF01036;	IPR001425;IPR018229;	bop VNG_1467G
Q9HNL6		VNG_2045G		tRNA threonylcarbamoyladenosine modification [GO:0002949]	cytoplasm [GO:0005737]; EKC/KEOPS complex [GO:0000408]	ATP binding [GO:0005524]; iron ion binding [GO:0005506]; metalloendopeptidase activity [GO:0004222]; N(6)-L-threonylcarbamoyladenine synthase activity [GO:0061711]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; zinc ion binding [GO:0008270]	64091.VNG_2045G;		9881at2157;			PS01016;		PF00814;	IPR043129;IPR022495;IPR000905;IPR017861;IPR022449;IPR034680;IPR011009;IPR017860;IPR009220;	VNG_2045G
Q9HQ90	nnrE			metabolite repair [GO:0110051]; nicotinamide nucleotide metabolic process [GO:0046496]		ADP-dependent NAD(P)H-hydrate dehydratase activity [GO:0052855]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NADHX epimerase activity [GO:0052856]; NADPHX epimerase activity [GO:0052857]	64091.VNG_1272C;				cd01171;	PS51383;PS51385;		PF01256;PF03853;	IPR000631;IPR030677;IPR029056;IPR004443;IPR036652;	nnrE nnrD VNG_1272C
Q9HR74	dmsA	VNG_0829G			plasma membrane [GO:0005886]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity [GO:0016491]	64091.VNG_0829G;		1029at2157;		cd02785;	PS51669;PS51318;	SM00926;	PF04879;PF00384;PF01568;	IPR009010;IPR041945;IPR006657;IPR006656;IPR006963;IPR006311;	dmsA VNG_0829G
Q9HSF6	rnhA	VNG_0255C			cytoplasm [GO:0005737]	DNA binding [GO:0003677]; exonuclease activity [GO:0004527]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	64091.VNG_0255C;		81085at2157;			PS50879;		PF13456;	IPR012337;IPR002156;IPR036397;	rnhA VNG_0255C
A0A510N4Q4	aspS			aspartyl-tRNA aminoacylation [GO:0006422]	cytoplasm [GO:0005737]	aspartate-tRNA ligase activity [GO:0004815]; aspartate-tRNA(Asn) ligase activity [GO:0050560]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676]						PS50862;		PF00152;PF01336;	IPR004364;IPR006195;IPR045864;IPR004523;IPR002312;IPR012340;IPR004365;	aspS VNG_0461G
A0A510N8C8	kae1			tRNA threonylcarbamoyladenosine modification [GO:0002949]	cytoplasm [GO:0005737]; EKC/KEOPS complex [GO:0000408]	ATP binding [GO:0005524]; iron ion binding [GO:0005506]; metalloendopeptidase activity [GO:0004222]; N(6)-L-threonylcarbamoyladenine synthase activity [GO:0061711]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; zinc ion binding [GO:0008270]						PS01016;		PF00814;	IPR043129;IPR022495;IPR000905;IPR017861;IPR022449;IPR034680;IPR011009;IPR017860;IPR009220;	kae1 VNG_2045G
A0A510N8V1	prsA		PATHWAY: Metabolic intermediate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate from D-ribose 5-phosphate (route I): step 1/1. {ECO:0000256|HAMAP-Rule:MF_00583}.	5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; nucleotide biosynthetic process [GO:0009165]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]				UPA00087;	cd06223;			PF00156;PF13793;	IPR029099;IPR000836;IPR029057;IPR005946;IPR037514;	prsA prs VNG_2203G
